class name,description
Purple Finch,"The Purple Finch is a medium-sized songbird with a conical bill and a robust body. Males are characterized by their vibrant raspberry-red plumage on the head, chest, and back, contrasted with brown streaks on the sides. Females are more subdued, featuring a brown and streaked appearance with hints of red on the wings and tail. Both sexes have a short, notched tail and a strong bill, making them adept at cracking seeds."
Northern Flicker,"The Northern Flicker is a large woodpecker with a distinctive appearance. It has a brownish body adorned with black spots and a white rump. The male features a prominent black mustache, while females have a more subdued facial pattern. Its wings and tail are bright yellow or red, depending on the subspecies. Known for its loud, ringing call, the Northern Flicker is often seen foraging on the ground for ants and beetles."
Acadian Flycatcher,"The Acadian Flycatcher is a small, olive-green bird with a pale yellow underbelly. It has a distinctive, slightly curved bill and a broad, rounded head. The wings are dark with two white wing bars, and its tail is short and squared. A subtle, pale eye ring adds to its charm. Often found in moist woodlands, this flycatcher is known for its soft, distinctive call and its ability to blend into its leafy surroundings."
Great Crested Flycatcher,"The Great Crested Flycatcher is a large, robust bird with a striking appearance. It has a grayish-brown body, a bright yellow belly, and a distinctive crest on its head. The wings are dark with two prominent white wing bars. Its long, square tail is often fanned out, and it has a stout, slightly hooked bill. Frequently found in woodlands and open areas, this flycatcher is known for its loud, characteristic call."
Least Flycatcher,"The Least Flycatcher is a small, slender bird with a brownish-olive back and pale underparts. It features a distinctively short, stubby bill and a faint eye ring. The wings are dark with two white wing bars, and its tail is relatively short. Its overall coloration is subtle, making it blend well into its surroundings. Often found in deciduous forests, this flycatcher is known for its quick, sharp calls and agile foraging behavior."
Olive sided Flycatcher,"The Olive-sided Flycatcher is a medium-sized bird with a distinctive, stout body. It has a grayish-brown back and a striking olive-green cap and sides. Its breast is pale with dark streaks, and it features two prominent white wing bars. The tail is short and somewhat squared, and it has a broad, flat head. Often found perched high in trees, this flycatcher is known for its loud, ringing call, especially during migration."
Scissor tailed Flycatcher,"The Scissor-tailed Flycatcher is a striking bird known for its long, forked tail that resembles scissors. Its plumage is predominantly pale gray with a rosy pink hue on the belly and underwings. The head is small and black, contrasting with its light body. It has a slender, pointed bill and long wings. Often seen perched on fence posts or wires, this flycatcher is admired for its graceful flight and acrobatic aerial displays."
Vermilion Flycatcher,"The Vermilion Flycatcher is a stunning small bird, known for its vibrant crimson plumage in males, which covers the head, back, and underparts. They have a contrasting dark brownish-black wings and tail. Females are more subdued, featuring a warm brown body with reddish undertones. Both sexes have a short, stout bill and a distinctive, rounded head. Often found in open areas, this flycatcher is admired for its bright colors and active foraging behavior."
Yellow bellied Flycatcher,"The Yellow-bellied Flycatcher is a small, olive-green bird with a pale yellow belly and a subtle, olive-colored back. It has a rounded head and a short, stout bill. The wings are dark with two faint white wing bars, and the tail is short and squared. Its eyes are dark and slightly prominent, adding to its charm. Often found in wetlands and forests, this flycatcher is known for its soft, distinctive calls."
Frigatebird,"Frigatebirds are large seabirds with striking appearances characterized by their long wings and deeply forked tails. Males have glossy black plumage with a bright red throat pouch that inflates during mating displays. Females are brownish with white underparts and a smaller throat pouch. They have long, pointed wings and a hooked bill, ideal for catching fish. Often seen soaring gracefully over oceans, frigatebirds are known for their impressive aerial agility and distinctive silhouette."
Northern Fulmar,"The Northern Fulmar is a medium-sized seabird with a stout body and a thick, hooked bill. Its plumage is predominantly pale gray or white, with darker gray wings and a distinctive white head. The bird has a rounded, compact shape and a short tail. Its wings are long and narrow, ideal for gliding over ocean waters. Often found in cold marine environments, the Northern Fulmar is known for its graceful flight and strong presence at sea."
Gadwall,"The Gadwall is a medium-sized dabbling duck with a subtle, elegant appearance. Males are mostly gray with a distinctive black rear and a white wing patch, while females are mottled brown with a lighter, more uniform pattern. Both sexes have a rounded head and a long, tapered bill. The male's chest features a slight chestnut hue, and they have a sleek, streamlined body. Often found in wetlands, Gadwalls are known for their calm demeanor."
American Goldfinch,"The American Goldfinch is a small, vibrant songbird known for its striking bright yellow plumage in males, especially during the breeding season. They have black wings with white wing bars and a black cap on their heads. Females are more subdued, featuring olive-brown feathers with yellow undertones. Both sexes have a short, conical bill ideal for seed eating. Often seen in gardens and fields, their cheerful appearance is complemented by their sweet, melodic songs."
European Goldfinch,"The European Goldfinch is a small, colorful songbird with a striking appearance. Males and females have a bright yellow body, accented by black wings featuring white patches. The face is characterized by a bold red mask around the eyes and a white cheek patch. Their tails are short and forked, and they have a conical bill ideal for seed eating. Often found in gardens and open fields, they are known for their lively behavior and melodious calls."
Boat tailed Grackle,"The Boat-tailed Grackle is a large, glossy black bird known for its striking appearance. Males have iridescent black plumage with a distinctive long, wedge-shaped tail that gives it a boat-like appearance. Females are smaller and brownish, with a more subdued coloration. Both sexes have a stout, conical bill and bright yellow eyes. Often found in marshes and coastal areas, the Boat-tailed Grackle is known for its loud calls and bold presence."
Eared Grebe,"The Eared Grebe is a small, compact waterbird with striking plumage. In breeding season, males display a distinctive black head with golden ""ears"" or tufts, and a rich chestnut body. Females are more subdued, featuring a grayish-brown coloration with less pronounced markings. Both sexes have a sharp, pointed bill and a slender neck. Their elegant swimming and diving abilities make them a captivating sight in freshwater and coastal habitats."
Horned Grebe,"The Horned Grebe is a small, striking waterbird known for its dramatic breeding plumage. Males feature a black cap and neck, with bright red eyes and distinctive golden ""horns"" or tufts on either side of the head. Their body is covered in rich chestnut and black, while females are more subdued, displaying a grayish-brown coloration. Both have a sharp, pointed bill, making them agile divers in freshwater and coastal habitats."
Pied billed Grebe,"The Pied-billed Grebe is a small, compact waterbird with a stout body and a distinctive chunky appearance. It has a dark brown, mottled plumage with a lighter, grayish-brown belly. The most notable feature is its short, thick bill, which has a prominent black band during the breeding season. Its neck is relatively short, and its eyes are bright yellow. Often found in freshwater habitats, this grebe is known for its diving abilities and elusive nature."
Western Grebe,"The Western Grebe is a medium to large waterbird known for its elegant appearance. It has a long, slender neck and a sharp, pointed bill. Breeding males display striking black and white plumage, with a stark white face and a black cap, while their body is primarily grayish with white underparts. Non-breeding adults are more muted, featuring browner tones. Often seen gliding gracefully on lakes, they are excellent divers, well-adapted for catching fish."
Blue Grosbeak,"The Blue Grosbeak is a strikingly vibrant bird, with males showcasing a deep, rich blue plumage complemented by bold brown wing bars. They have a stout, conical bill ideal for seed eating and a robust body. Females are more subdued, featuring a warm brown and streaked appearance with hints of blue on the wings. Often found in scrubby or open areas, the Blue Grosbeak is known for its beautiful color and melodic songs."
Evening Grosbeak,"The Evening Grosbeak is a large, stocky bird with a striking appearance. Males feature bright yellow plumage with bold black wings and a distinctive black cap. They have a stout, conical bill that is pale yellow, ideal for cracking seeds. Females are more subdued, displaying a mix of brown and yellow hues with streaked underparts. Often found in coniferous forests, these grosbeaks are known for their cheerful calls and social behavior."
Pine Grosbeak,"The Pine Grosbeak is a robust bird with a distinctive appearance. Males are striking, featuring bright rosy red plumage on the head, back, and underparts, complemented by gray wings and tail. Females are more subdued, showcasing a warm yellowish-brown coloration with streaked underparts. Both sexes have a stout, conical bill ideal for seed eating. Often seen in coniferous forests, the Pine Grosbeak is known for its gentle demeanor and soft songs."
Rose breasted Grosbeak,"The Rose-breasted Grosbeak is a striking bird known for its bold coloration. Males have a distinctive black head, back, and wings, contrasted by a bright rose-pink patch on the breast and white underparts. They also feature white wing bars. Females are more subdued, displaying a brown and streaked appearance with hints of pink on the breast. Both sexes have a thick, conical bill, ideal for cracking seeds, and are often found in woodlands and gardens."
Pigeon Guillemot,"The Pigeon Guillemot is a medium-sized seabird with a striking black body and white wing patches. In breeding plumage, it showcases a bright red foot and a distinctive red bill. Males and females are similar in appearance, though males are generally darker. During the non-breeding season, their plumage becomes more muted. Often found along rocky coastlines, these guillemots are excellent divers and are known for their distinctive calls and agile swimming."
California Gull,"The California Gull is a medium-sized gull with a distinctive appearance. It features a gray back, white head, and a striking black mantle on the wings. In breeding plumage, adults have a dark eye and a red spot on the bill. Their legs are a vibrant yellow-green. Juveniles are mottled brown and gray, gradually transitioning to adult plumage. Often found in coastal and inland areas, they are known for their adaptability and scavenging behavior."
Glaucous winged Gull,"The Glaucous-winged Gull is a large, robust bird with a distinctive appearance. It has a light gray back and wings, with pale gray to white underparts. The head is white, often with a few dark markings in younger birds. Its bill is thick and yellow with a red spot near the tip. The legs are flesh-colored, and the wings feature pale gray tips. Commonly found along the Pacific coast, it is known for its strong presence."
Heermann Gull,"The Heermann's Gull is a medium-sized gull with a striking appearance. It features a dark gray body and wings, contrasted by a pure white head and bright red bill. In breeding plumage, the head becomes largely white, while the body remains gray. Its legs are dark, and the wings have white tips. Juveniles are mottled brown and gray, gradually developing adult plumage. Commonly found along the Pacific coast, it is known for its distinctive look and behavior."
Herring Gull,"The Herring Gull is a large, robust bird with a striking appearance. It has a light gray back and wings, with a white head and underparts. Adults feature a yellow bill with a distinct red spot, and their legs are pale pink. In breeding plumage, they have a dark eye and a subtle streaking on the head. Juveniles are mottled brown and gray, gradually transitioning to adult plumage. Often found near coasts, they are known for their adaptability."
Ivory Gull,"The Ivory Gull is a small to medium-sized seabird known for its striking all-white plumage, which helps it blend into its Arctic environment. It has a rounded head, short bill, and dark eyes that stand out against its pristine feathers. The wings are slightly longer and pointed, ideal for graceful flight. Juveniles are mottled gray and white. Often seen near pack ice, the Ivory Gull is admired for its elegance and adaptability to harsh conditions."
Ring billed Gull,"The Ring-billed Gull is a medium-sized bird with a distinctive appearance. It has a gray back and wings, with white underparts and a striking black ring around its yellow bill. The head is white, often with some light streaking in winter. Its legs are a pale yellow, and the wings feature black tips. Juveniles are mottled brown and gray, gradually transitioning to adult plumage. Commonly found near lakes and coastal areas, it is known for its adaptability."
Slaty backed Gull,"The Slaty-backed Gull is a large seabird with a striking appearance. It features a dark gray back and wings, contrasting with white underparts and a pale head. Adults have a robust, yellow bill with a red spot near the tip. The legs are a pale yellow, and the wings have distinctive black tips. Juveniles are mottled brown and gray, gradually developing adult plumage. Often found in coastal areas, it is known for its bold presence."
Western Gull,"The Western Gull is a large seabird characterized by its robust build and striking appearance. It has a gray back and wings, contrasting with white underparts and a white head. Adults feature a thick yellow bill with a red spot, and their legs are pale pink. Juveniles are mottled brown and gray, gradually transitioning to adult plumage. Commonly found along the Pacific coast, the Western Gull is known for its bold presence and adaptability."
Anna Hummingbird,"The Anna's Hummingbird is a small bird known for its striking iridescent plumage. Males display a vibrant emerald green back and a shimmering rose-red crown and throat, while females are more subdued, featuring green and gray with a faintly spotted throat. Both sexes have a long, slender body and a straight, pointed bill. Their wings are rapid and agile, making them captivating to observe as they hover around flowers and feeders."
Ruby throated Hummingbird,"The Ruby-throated Hummingbird is a small, iridescent bird renowned for its striking appearance. Males feature a vibrant emerald green back and a brilliant ruby-red throat that glimmers in the light. Females are more subdued, displaying a greenish back with gray underparts and a faintly spotted throat. Both sexes have a slender body and a long, straight bill. Their rapid wing beats allow them to hover gracefully while feeding on nectar from flowers."
Rufous Hummingbird,"The Rufous Hummingbird is a small bird known for its vibrant, fiery orange-red plumage. Males display a bright orange throat that shimmers with iridescence, complemented by a green back and crown. Females are more subdued, featuring a mix of green and rusty orange, with lighter underparts. Both sexes have a slender body and a long, straight bill. Their rapid wing beats and agile flight make them a captivating sight at feeders and in gardens."
Green Violetear,"The Green Violetear is a medium-sized hummingbird known for its striking coloration. Males have a vibrant emerald green body with a distinctive violet-blue patch on the throat and a shimmering violet ear patch. The wings are dark and pointed, and the tail is long and forked. Females are similar but slightly duller in color. Their slender bodies and rapid wing beats make them agile fliers, often seen around flowers and feeders."
Long tailed Jaeger,"The Long-tailed Jaeger is a large, sleek seabird with distinctive features. It has a dark brownish-gray body with a lighter underbelly and striking long, slender tail feathers that can extend significantly longer than the wings. The head is dark with a pale crown, and it has a robust, pointed bill. During breeding season, it displays a more pronounced contrast between its dark and light plumage. Often seen in coastal areas, it is known for its agile flight."
Pomarine Jaeger,"The Pomarine Jaeger is a robust seabird known for its striking appearance. It has a dark brown body with a lighter belly and distinctive long, curved tail feathers that can be quite prominent. The head is dark, with a contrasting white cap in breeding plumage, and it features a stout, hooked bill. Its wings are long and pointed, making it an agile flier. Often seen in coastal areas, it is known for its bold behavior."
Blue Jay,"The Blue Jay is a medium-sized bird known for its vibrant blue plumage and striking black and white markings. It has a distinct crest on its head and a stout, blue bill. The wings and tail feature bold black and white stripes, adding to its visual appeal. Its underparts are a soft grayish-white. Often seen in forests and urban areas, the Blue Jay is known for its intelligence and loud, varied calls."
Florida Jay,"The Florida Jay, a subspecies of the Blue Jay, is a medium-sized bird with vibrant blue plumage and distinctive black and white markings. It features a prominent crest, a stout bill, and bold, dark wings with white bars. Its underparts are a soft grayish-white. This jay is often seen in subtropical forests and urban areas in Florida, known for its intelligence, social behavior, and varied vocalizations, making it a captivating sight."
Green Jay,"The Green Jay is a striking bird characterized by its vibrant green and yellow plumage. It has a bright blue crown and face, with a black bib contrasting with its colorful body. The wings and tail are a mix of blue and green, while the underparts are yellow. This medium-sized jay features a stout, curved bill and is often found in subtropical and tropical habitats, known for its playful behavior and loud calls."
Dark eyed Junco,"The Dark-eyed Junco is a small, sparrow-like bird with a distinct appearance. Males typically have a slate-gray head, back, and wings, contrasting with a white belly and outer tail feathers. Females are generally browner, with a softer, more muted coloration. Both sexes have a conical bill and a rounded body. Often found in wooded areas and gardens, they are known for their hopping behavior and cheerful, melodic calls."
Tropical Kingbird,"The Tropical Kingbird is a medium-sized flycatcher with a distinctive appearance. It features a bright yellow belly and a grayish olive back, along with a dark crown and a pale face. Its wings are dark with prominent white wing bars, and it has a short, notched tail. The bill is long and straight, ideal for catching insects. Often found in open areas and gardens, this kingbird is known for its loud, assertive calls."
Gray Kingbird,"The Gray Kingbird is a medium-sized bird with a striking appearance. It has a grayish body, with a slightly darker crown and a pale, contrasting face. The wings are dark with white wing bars, and its tail is long and notched. Its bill is robust and straight, suitable for catching insects. Often seen perched prominently in open areas or near water, this kingbird is known for its loud, distinctive calls and active hunting behavior."
Belted Kingfisher,"The Belted Kingfisher is a medium-sized bird known for its striking appearance. It has a prominent crest and a chunky body with a blue-gray back and a white underbelly. Males feature a single white collar, while females have an additional rusty band across the chest. The bill is long, straight, and sharp, ideal for catching fish. Often seen near water, this kingfisher is known for its raucous calls and acrobatic fishing dives."
Green Kingfisher,"The Green Kingfisher is a small, striking bird with a vibrant green back and a white underbelly. It features a distinctive bluish-green crown and a bold white collar that contrasts with its dark, short bill. Males have a rusty orange patch on the breast, while females exhibit similar coloration. Often seen near freshwater habitats, this kingfisher is known for its agile flight and hunting skills, diving skillfully to catch fish and insects."
Pied Kingfisher,"The Pied Kingfisher is a medium-sized bird with a striking black-and-white plumage. It features a distinctive crest and a long, straight bill. The head is black with white markings, and the body is predominantly white with bold black stripes on the wings and back. Its underparts are white, and it has a short, square tail. Often seen hovering above water, this kingfisher is known for its agility and impressive fishing skills."
Ringed Kingfisher,"The Ringed Kingfisher is a large, striking bird characterized by its bold appearance. It has a vivid blue back and wings, with a white underbelly. A prominent chestnut-colored band encircles its neck, contrasting sharply with its white face and throat. The bill is long and robust, ideal for catching fish. Often seen near rivers and lakes, this kingfisher is known for its loud calls and impressive diving skills."
White breasted Kingfisher,"The White-breasted Kingfisher is a striking bird with vibrant plumage. It features a rich blue back and wings, a chestnut-colored head, and a bright white belly. The throat is also white, creating a bold contrast with its dark brown or olive-green neck. Its long, straight bill is ideal for catching prey. Often found near water bodies, this kingfisher is known for its sharp calls and distinctive, colorful appearance."
Red legged Kittiwake,"The Red-legged Kittiwake is a medium-sized seabird with a distinctive appearance. It features a white body and gray wings, with a black mantle on its back. The most striking feature is its bright red legs and feet, which contrast sharply with its plumage. It has a short, stout bill and a rounded head. Often found in coastal areas, this kittiwake is known for its charming calls and social behavior, especially in breeding colonies."
Horned Lark,"The Horned Lark is a small, ground-dwelling bird with a distinctive appearance. It has a pale brown and gray body with a black crown and prominent yellow face patches. Males feature small, horn-like tufts on their heads, while females are more subdued in coloration. The bird has a long, slender body and a short tail. Often found in open fields and grasslands, the Horned Lark is known for its melodious song and agile flight."
Pacific Loon,"The Pacific Loon is a medium-sized waterbird known for its striking breeding plumage. Males have a dark gray head and neck, with a distinctive white throat and a checkered black-and-white back. Their underparts are white, and they have a long, slender body and pointed bill. In non-breeding plumage, they become more muted with a grayish-brown appearance. Often found in coastal waters and lakes, they are excellent divers and swimmers."
Mallard,"The Mallard is a medium-sized duck known for its striking appearance. Males have a vibrant green head, a white neck ring, and a chestnut-brown breast, while their body is gray with a blackish tail. Females are mottled brown with an orange bill and a distinctive blue speculum on their wings. Both sexes have a rounded body and webbed feet, making them agile swimmers. Commonly found in ponds and wetlands, they are easily recognizable."
Western Meadowlark,"The Western Meadowlark is a medium-sized songbird with a distinctive appearance. It has a bright yellow belly and a striking black V-shaped necklace on its throat. The back is brown and streaked, providing excellent camouflage in grassy habitats. Its long, pointed bill is ideal for foraging insects and seeds. With a robust body and a cheerful, melodic song, this meadowlark is often found in open fields and grasslands across North America."
Hooded Merganser,"The Hooded Merganser is a striking waterfowl known for its distinctive crest. Males feature a glossy black head with a prominent white ""hood"" that can be raised or lowered, a chestnut-colored breast, and grayish body. Females are more subdued, with a brownish head and a less pronounced crest. Both sexes have long, slender bills ideal for catching fish. Often found in freshwater lakes and streams, they are admired for their elegant appearance and swift swimming."
