class name,description,
Blue-footed Booby,"The Blue-footed Booby is a striking seabird known for its vibrant blue feet, which are a distinctive feature of the species. It has a streamlined body with a white head, brownish wings, and a pale underbelly. The bird's large, pointed bill is ideal for catching fish. With its expressive eyes and playful demeanor, the Blue-footed Booby is often seen performing courtship displays, making it a captivating sight along tropical coasts.",
Bufflehead,"The Bufflehead is a small, distinctive diving duck known for its striking plumage. Males showcase a bold black and white pattern, featuring a large white patch on the back of their heads and a white body contrasted with a black back. Females are more subdued, with mottled brown and gray feathers and a smaller white patch behind the eye. Their compact size and unique coloration make them easily recognizable in lakes and ponds during winter.",
Bullfinch,"The Bullfinch is a robust, medium-sized bird with a distinctive appearance. Males are characterized by their bright pinkish-red underparts, contrasting with a black cap and face. Their wings and tail are black, while females are more subdued, featuring a grayish-brown body with a subtle peach hue on the underparts. Both sexes have a stout, conical bill, ideal for cracking seeds. Their rounded shape and striking coloration make them a charming sight in gardens and woodlands.",
Burrowing Owl,"The Burrowing Owl is a small, distinctive owl with a chunky body and long legs. Its plumage is mottled brown and white, providing excellent camouflage in its grassland habitat. It features a round head with bright yellow eyes and a short, flat facial disk. Unlike many owls, it is active during the day. Burrowing Owls often perch on the ground near their burrows, displaying a curious and engaging demeanor.",
California Condor,"The California Condor is a large vulture with a wingspan of up to 10 feet, making it one of the largest flying birds in North America. It has a rugged black body with striking white wing feathers that are visible in flight. The head is mostly bare, with a reddish-orange hue, and it features distinctive wattles. Its powerful beak is adapted for scavenging, and its majestic appearance is complemented by a strong, soaring flight.",
Canada Goose,"The Canada Goose is a large waterfowl known for its distinctive appearance. It has a long neck, a black head, and a prominent white cheek patch. The body is predominantly gray-brown, with a lighter breast and darker wings. This goose exhibits a robust build and often travels in V-shaped formations during migration. Its honking call is familiar in wetlands and parks, where it commonly grazes on grasses and other vegetation.",
Canvasback,"The Canvasback is a medium to large diving duck known for its striking appearance. Males have a distinctive sloping head, red-brown in color, with a black chest and white body. Their long, pointed bill is ideal for foraging. Females are more subdued, featuring a brownish head and a lighter body with subtle markings. Both sexes have a sleek profile and are often seen in freshwater lakes and marshes, especially during migration.",
Cape May Warbler,"The Cape May Warbler is a small, colorful songbird known for its striking plumage. Males display bright yellow underparts with black streaks, a greenish back, and a distinctive black face mask. During breeding season, they have a vibrant yellow throat and chest. Females are more subdued, featuring olive-brown tones with lighter underparts. Both sexes have a slender body and a short, pointed bill, often seen foraging in trees and shrubs during migration.",
Carolina Wren,"The Carolina Wren is a small, robust bird with a distinctive, rounded body and a long tail. Its plumage is primarily warm brown with a lighter, buff-colored underside. It features a prominent white eye stripe and a bold, slightly curved bill. Known for its energetic behavior, this wren often holds its tail cocked upward. Its cheerful song and curious nature make it a delightful presence in gardens and woodlands across the eastern United States.",
Caspian Tern,"The Caspian Tern is a large, elegant seabird with a striking appearance. It features a white body and a black crown on its head, contrasting with its long, slender wings and pointed bill. The bill is bright red, ideal for catching fish. Its wings are gray with black tips, and it has a distinctive short tail. Known for its graceful flight, the Caspian Tern is often seen along coastlines and lakeshores.",
Cassowary,"The Cassowary is a large, flightless bird known for its striking appearance and distinctive features. It has a tall, helmet-like casque on its head and vibrant blue skin on its face and neck, contrasting with its black, shaggy plumage. Its long, powerful legs end in three sharp toes, making it a formidable runner. Cassowaries are often considered the world's heaviest bird, and their striking coloration makes them a unique sight in tropical forests.",
Cedar Waxwing,"The Cedar Waxwing is a sleek, medium-sized bird known for its striking appearance. It features a soft, brownish-yellow body with a distinctive black mask and a crest on its head. The wings are dark with bright yellow tips, resembling wax, hence the name. Its underparts are pale yellow, and it has a slender, pointed bill. Often found in flocks, Cedar Waxwings are known for their graceful flight and love of berries.",
Chipping Sparrow,"The Chipping Sparrow is a small, slender songbird with a distinctive appearance. It has a reddish-brown cap on its head, a grayish-brown body, and a white underbelly. The wings are streaked with brown, and it features a characteristic black line through the eye. Its short, notched tail and conical bill are adapted for seed eating. Often seen in open woodlands and gardens, the Chipping Sparrow is known for its cheerful, melodic song.",
Chukar Partridge,"The Chukar Partridge is a medium-sized bird with a distinctive appearance. It has a rounded body covered in mottled gray and brown plumage, which provides excellent camouflage. Its most notable features include a black ""necklace"" around its throat and striking red legs and bill. The Chukar's sides are marked with bold, vertical stripes, and its long tail is tipped with white. This bird is often found in rocky, hilly terrains, making it a unique sight.",
Clark's Nutcracker,"Clark's Nutcracker is a medium-sized bird with a striking appearance. It has a gray body, with black wings and a short, stubby tail. The bird features a distinctive black crown and a pale gray face. Its long, slender bill is well-adapted for extracting seeds from pine cones. Known for its intelligence and adaptability, Clark's Nutcracker is often found in coniferous forests",
Cliff Swallow,"The Cliff Swallow is a small, agile bird known for its distinctive appearance. It has a dark blue-black upper body and a rufous-colored throat, contrasting with its pale underparts. The swallow features a square tail with white edges and a short, pointed bill. Its short, rounded wings are well-suited for swift flight. Often seen in colonies, Cliff Swallows build mud nests under eaves and cliffs, making them a familiar sight in their habitats.",
Common Blackbird,"The Common Blackbird is a medium-sized songbird known for its striking all-black plumage in males, which features a bright yellow eye ring and a yellow-orange bill. Females are more subdued, with brownish feathers and speckled underparts. Both sexes have a rounded body and long tail, contributing to their graceful appearance. Common Blackbirds are often found in gardens and woodlands, and their melodious song adds charm to their presence in various habitats.",
Common Eider,"The Common Eider is a large sea duck known for its striking plumage. Males display a distinctive black and white pattern, with a creamy nape and greenish crown. Females are mottled brown, providing excellent camouflage. Both sexes have a stout, broad bill and a robust body. In flight, their wings show white primary feathers, adding to their visual appeal against the ocean backdrop. Common Eiders are often seen in coastal waters.",
Common Goldeneye,"The Common Goldeneye is a medium-sized diving duck with striking features. Males have a glossy green head, a distinctive round white spot in front of their eye, and a black back contrasted by white flanks. Females are brown with a lighter face and a more subtle appearance. Both sexes have a stout, short bill and a rounded body, and they are often seen in freshwater and coastal waters, especially during winter.",
Common Grackle,"The Common Grackle is a medium-sized bird with iridescent black plumage, featuring shades of purple and green in the sunlight. It has a long, wedge-shaped tail and a strong, pointed bill. Its eyes are bright yellow, adding to its striking appearance. Males are generally larger and more colorful than females, which are browner and less glossy. Common Grackles are often found in open areas, foraging in flocks.",
Common Kingfisher,"The Common Kingfisher is a small, vibrant bird with striking blue and orange plumage. Its back is bright blue, while its underparts are a vivid orange. It has a long, straight bill and a distinctive, short tail. The head is adorned with a small crest, and its large, bright eyes enhance its captivating look. Often seen near water, this kingfisher is known for its agile hunting dives and graceful flight.",
Common Loon,"The Common Loon is a large, striking waterbird known for its black and white checkered back and bold black head. In breeding plumage, it features a distinctive white necklace and red eyes, creating a dramatic contrast. Its body is streamlined for diving, with long, pointed bills and webbed feet. In winter, its plumage turns more muted, with gray tones. Common Loons are often found on lakes and coastal waters, emitting haunting calls.",
Common Merganser,"The Common Merganser is a large, elegant duck with a slender body and long, pointed bill. Males showcase striking green heads, white bodies, and black backs, while females are more subdued, featuring reddish-brown heads and grayish bodies. Both sexes have distinctive, serrated bills for catching fish. Their long, narrow wings and pointed tails aid in swift flight, making them a graceful sight on freshwater lakes and rivers.",
Common Nighthawk,"The Common Nighthawk is a medium-sized bird with a stout body and long, pointed wings. Its plumage is mottled brown and gray, providing excellent camouflage against tree bark and ground. It has a distinctive white bar across each wing and a short, forked tail. The nighthawk's large eyes are adapted for low-light conditions, and its haunting calls are often heard at dusk, making it a unique presence in the evening sky.",
Common Pheasant,"The Common Pheasant is a large, colorful bird characterized by its long tail and striking plumage. Males display vibrant golden-brown feathers with intricate patterns, a green head, and a bright red face. Their long, pointed tails can be almost as long as their bodies. Females are more subdued, featuring mottled brown and tan feathers for camouflage. Both sexes have stout bodies and long, slender necks, making them distinctive in grasslands and fields.",
Common Raven,"The Common Raven is a large, intelligent bird with glossy black feathers that display a blue or purple sheen in sunlight. It has a thick, wedge-shaped tail and a strong, curved bill. Its eyes are dark and expressive, adding to its striking appearance. Ravens have long, powerful wings, enabling agile flight. They often emit a deep, resonant croak, making their presence known in various habitats, from forests to urban areas.",
Common Redpoll,"The Common Redpoll is a small, stocky finch with a distinctive red cap on its head and a black chin. Males have a rosy red breast, while females are more muted, featuring brown and streaked plumage. Both sexes possess a short, conical bill ideal for seed eating. Their wings are dark with white wing bars, and they have a slightly notched tail. Common Redpolls are often seen in flocks, foraging in trees and shrubs.",
Common Sandpiper,"The Common Sandpiper is a small, agile shorebird with a distinctive brown and white plumage. Its upper parts are mottled brown, while its underparts are white, often with a slight buff tint. It features a short, straight bill and a distinctive, rounded body. The bird has a unique, bobbing motion as it walks along the shore, and its wings are broad with white wing edges, making it easily recognizable in wetlands and coastal areas.",
Common Shelduck,"The Common Shelduck is a striking waterfowl characterized by its bold coloration. Males display a white body with a chestnut-brown head and a distinctive greenish-black crown. Their wings feature black and white patterns, while the underparts are bright white. Females resemble males but have a lighter head. Both sexes possess a long, slender neck and a broad, flat bill, making them easily recognizable in wetlands and coastal areas.","The Common Shelduck is a striking waterfowl with a distinctive appearance. It features a white body, contrasting black head, and chestnut-brown breast. The wings display bold green and white patterns. Males have a prominent red bill, while females have a slightly smaller one. Their long neck and elongated body give them a graceful stance. This duck often forages in shallow waters, adding to its elegant presence."
Common Starling,"The Common Starling is a medium-sized bird with a glossy black plumage that exhibits iridescent green and purple hues, especially in sunlight. Its body is compact with a pointed tail and sharp, slender bill. In winter, the feathers are speckled with white, giving it a mottled appearance. Starlings have a robust build and are known for their agile flight and vocal mimicry, often seen in large, noisy flocks.",
Common Tern,"The Common Tern is a sleek, slender seabird with a striking white body and a distinctive black cap on its head. It features long, pointed wings and a forked tail, which enhance its graceful flight. The bill is straight and bright red, with a dark tip. In breeding plumage, it has a subtle gray mantle. Its underparts are white, and its legs are short and red, adding to its elegant appearance.",
Common Yellowthroat,"The Common Yellowthroat is a small, lively warbler characterized by its bright yellow underparts and olive-brown upperparts. A distinctive black mask surrounds its eyes, contrasting sharply with its yellow throat and chest. The wings are short and pointed, and it has a relatively long tail. Males have a vibrant appearance during breeding season, while females are more subdued, lacking the black mask but still retaining the yellow coloration.",
Cooper's Hawk,"The Cooper's Hawk is a medium-sized raptor with a rounded tail and a robust body. Its plumage is a mix of slate-gray on the back and a reddish-brown barring on the chest and belly. The head is relatively small and features a striking, pale face with dark cap. Its sharp, hooked beak and long legs make it an agile hunter, often seen perched in trees or gliding through wooded areas.",
Crested Auklet,"The Crested Auklet is a small, striking seabird known for its distinctive crest of feathers that resembles a tuft on its head. It has a dark grayish-brown body with a white face and bright orange bill. The eyes are surrounded by a vibrant orange-red orbital ring. In breeding plumage, its crest becomes more pronounced, adding to its unique appearance. Its compact body and strong wings enable agile flight over ocean waters.",
Crested Caracara,"The Crested Caracara is a large, striking raptor with a distinctive black crown and a prominent, elongated crest. Its body features a mix of dark brown and white plumage, with a white neck and belly. The wings are broad and pointed, showcasing a pattern of white and black. Its strong, hooked bill is yellow with an orange base. This bird often displays a bold and confident stance, frequently seen scavenging or hunting on the ground.",
Crimson Rosella,"The Crimson Rosella is a vibrant parrot known for its striking plumage. It features a bright red body with blue and black wings and a blue-tipped tail. The head is predominantly red, with hints of blue around the eyes and cheeks. Adults display a rich, glossy coloration, while younger birds may have duller hues. These parrots are medium-sized, with a strong, curved bill and a lively demeanor, often seen in pairs or small flocks.",
Cuckoo,"Cuckoos are medium-sized birds with slender bodies and long tails. Their plumage varies widely, often featuring a mix of gray, brown, and black, which helps them blend into their surroundings. Many species have distinctive markings, such as streaks or spots. The common cuckoo has a grayish body with a lighter underbelly and a bold yellow eye. Their calls are often loud and recognizable, contributing to their reputation in folklore and nature.",
Dark-eyed Junco,"The Dark-eyed Junco is a small, sparrow-like bird with a rounded body and a short tail. It typically has a dark gray or black head and upperparts, contrasting with its white belly and outer tail feathers. Some variations feature a brownish back. The eyes are dark and round, giving it a bright appearance. Juncos are often seen foraging on the ground, hopping around in flocks during winter months.",
Double-crested Cormorant,"The Double-crested Cormorant is a large, aquatic bird with a long neck and a sleek, black body. It has distinctive double crests of feathers on its head during breeding season. The bill is long, hooked, and yellow, contrasting with its dark plumage. Its wings are broad and slightly rounded, and it often has a greenish sheen. Cormorants are known for their excellent diving ability and can often be seen drying their wings after fishing.",
Downy Woodpecker,"The Downy Woodpecker is a small, black-and-white bird with a stout body and a short, stiff tail. Its upperparts are black, while the underparts are white with black spots. Males have a small red patch on the back of the head. The bill is short and chisel-like, adapted for drilling into wood. Its characteristic hopping movement and distinctive pecking sounds make it easily recognizable in wooded areas across North America.",
Eastern Bluebird,"The Eastern Bluebird is a small, vibrant songbird with a striking blue back and wings. Its throat and breast are a warm, reddish-orange, transitioning to a white belly. The head is rounded and blue, with a subtle lighter hue around the face. Males are particularly vivid in color, while females are slightly duller. Their short, slender body and cheerful demeanor make them a delightful sight in open fields and gardens.",
Eastern Meadowlark,"The Eastern Meadowlark is a medium-sized songbird with a robust body and a distinctive, bright yellow underbelly marked with a black V-shaped necklace. Its back is a rich brown with streaks, providing excellent camouflage in grassy habitats. The head is rounded with a short, pointed bill, ideal for foraging. Meadowlarks are often seen perched on fence posts or in fields, singing their melodious calls, especially during the breeding season.",
Eastern Phoebe,"The Eastern Phoebe is a small, stocky flycatcher with a grayish-brown upper body and a pale, slightly yellowish underbelly. It has a distinct, rounded head with a short, thin bill. The wings are dark and slightly long, contributing to its overall sturdy appearance. Phoebes often have a characteristic bobbing motion while perched and are known for their soft, plaintive calls. They are commonly found near open areas and water sources.",
Eastern Screech Owl,"The Eastern Screech Owl is a small, compact owl with a rounded head and large, expressive yellow eyes. Its plumage is mottled gray or reddish-brown, providing excellent camouflage against tree bark. This owl has distinctive ear tufts that can be raised or lowered, enhancing its expressive appearance. Its beak is short and curved, while the face is framed by a soft, rounded appearance. Eastern Screech Owls are often found in wooded areas and suburban settings.",
Egret,"Egrets are elegant, large wading birds known for their striking white plumage and long, slender necks. They feature long legs and sharp, pointed bills, which are ideal for catching fish and other aquatic prey. Some species, like the Great Egret, have a distinctive yellow bill and bright green facial skin during breeding season. Egrets often stand still in shallow waters, showcasing their graceful posture and beautiful feather displays, especially during mating rituals.",
Elegant Tern,"The Elegant Tern is a medium-sized seabird with a slender body and a long, pointed bill. It features a striking white head, a black crown, and a distinctive, long crest that flows back during the breeding season. Its upperparts are gray, while its underparts are white. The wings are long and slender, and it often displays graceful flight over coastal waters. This tern is known for its elegant appearance and lively behavior.",
Emperor Penguin,"The Emperor Penguin is the largest of all penguin species, featuring a striking black and white coloration. Its head is black with a distinctive orange-yellow patch on the ear and throat. The body is predominantly white with a black back and flippers. Emperor Penguins have a robust, upright posture and a thick layer of blubber and feathers for insulation against the harsh Antarctic climate, making them well-adapted to their icy environment.",
Eurasian Collared Dove,"The Eurasian Collared Dove is a medium-sized dove with a soft grayish-brown plumage and a distinctive black ""collar"" or crescent on the back of its neck. Its wings are broad with a slightly pointed shape, and the tail is long and squared. The eyes are bright red, giving it a striking appearance. This dove has a calm demeanor and is often seen perched in trees or foraging on the ground in urban areas.",
Eurasian Tree Sparrow,"The Eurasian Tree Sparrow is a small, plump bird with a distinctive appearance. It has a rich chestnut-brown crown and nape, contrasting with its pale cheeks and white throat. The back is streaked with brown, while the underparts are light. A notable feature is the black patch on its cheek. Its short tail and stout bill are well-suited for foraging. Commonly found in urban areas, these sparrows are social and often seen in flocks.",
European Goldfinch,"The European Goldfinch is a small, colorful bird with a striking appearance. Its head is adorned with a red face and black crown, contrasting with its white cheeks. The body is predominantly brown and cream, with vivid yellow wing patches that stand out during flight. The tail is forked and black, with white edges. These finches have a slender, conical bill, ideal for feeding on seeds, and are often seen in gardens and fields.",
European Starling,"The European Starling is a medium-sized bird with a sleek, iridescent black plumage that exhibits shades of green and purple, especially in sunlight. Its body is stocky, with a pointed tail and long, slender wings. In winter, the feathers are speckled with white, giving it a mottled appearance. The bill is conical and yellow in summer, turning darker in winter. Starlings are known for their vocal mimicry and agile flight patterns.",
Evening Grosbeak,"The Evening Grosbeak is a large, colorful songbird with a robust body and a distinctive, thick bill ideal for cracking seeds. Males are vibrant yellow with a black crown and wings, featuring white wing bars. Their underparts are bright yellow, and they have a striking black tail. Females are more subdued, with olive-brown plumage and yellow accents. These grosbeaks are often seen in forests and feeders, displaying their bold colors and strong presence.",
Ferruginous Hawk,"The Ferruginous Hawk is a large, powerful raptor characterized by its broad wings and a robust body. It features a striking combination of rust-colored plumage on its back and legs, contrasted with a pale, mottled underbelly. The head is often white with dark streaks, and its wings display a distinctive pattern of dark and light feathers. This hawk has strong talons and a keen gaze, making it a formidable hunter in open habitats.",
Field Sparrow,"The Field Sparrow is a small, slender songbird with a brown and gray streaked plumage that blends well with its grassy habitat. It has a pale, pinkish bill and a white eye ring that contrasts with its brownish head. The back is mottled with shades of brown, and its underparts are light with subtle streaks. The tail is short and rounded, and its soft, melodic songs are often heard in open fields and brushy areas.",
Flamingo,"Flamingos are large, wading birds known for their striking pink plumage, which can vary from pale to vibrant shades depending on diet. They have long, slender legs and a distinctive downward-curved bill, well-adapted for filtering food from water. Their necks are long and flexible, allowing them to reach into shallow waters. In flight, flamingos reveal black wing tips against their colorful bodies, creating a stunning visual contrast against blue skies.",
Fork-tailed Flycatcher,"The Fork-tailed Flycatcher is a striking bird with a long, deeply forked tail that can be more than twice the length of its body. It has a sleek, grayish-black back and a white underbelly, with a distinctive black cap on its head. The wings are long and pointed, and it features a yellow patch on the tail base. This agile flycatcher is often seen perched prominently, hunting insects in open areas.",
Fox Sparrow,"The Fox Sparrow is a medium-sized, robust songbird characterized by its rich, rusty-brown plumage and heavily spotted underparts. It has a broad, rounded tail and a relatively large, conical bill. The face features a subtle streaking pattern, and the overall coloration varies among subspecies, ranging from reddish to grayish tones. Often found foraging on the ground in brushy areas, the Fox Sparrow is known for its beautiful, melodic song.",
Gadwall,"The Gadwall is a medium-sized dabbling duck known for its subtle elegance. Males exhibit a grayish-brown body with a distinctive black rear and white wing patches, while females are mottled brown with a lighter, more uniform appearance. Both sexes feature a rounded head and a long, tapered bill. The male's chest has a slight chestnut hue, and their calm demeanor makes them a common sight in wetlands.","The Gadwall is a medium-sized dabbling duck with a subtle, elegant appearance. Males have a grayish-brown body with a distinctive black rear and a white patch on the wings, while females are mottled brown for camouflage. Both sexes have a sleek, elongated shape and a slightly rounded head. The bill is broad and dark, and during the breeding season, males develop a rich chestnut hue on the flanks, enhancing their overall beauty."
Golden Eagle,"The Golden Eagle is a large, powerful raptor characterized by its dark brown plumage and striking golden feathers on the back of its head and neck. It has a broad wingspan with long, pointed wings and a short, fan-shaped tail. The bill is strong and hooked, ideal for hunting. Its keen, yellow eyes convey a sharp, alert expression. Golden Eagles are often seen soaring high in mountainous regions, showcasing their majestic flight.",
Golden Pheasant,"The Golden Pheasant is a strikingly colorful bird known for its vibrant plumage. Males feature a bright yellow body with rich red and orange accents, along with a long, flowing tail marked by black and gold patterns. Their head is adorned with a distinctive crest and a red face. Females are more subdued, sporting mottled brown plumage that provides camouflage. This pheasant is often found in wooded or brushy areas, showcasing its stunning colors.",
Goldfinch,"The Goldfinch is a small, cheerful songbird known for its vibrant yellow plumage, particularly in males during the breeding season. They have a black cap on their heads and black wings adorned with white wing bars. The underparts are bright yellow, while the back is olive-brown. Females and younger birds are more subdued, featuring a mix of brown and yellow. Their conical bills are perfect for seed feeding, making them a common sight in gardens.",
